age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,was_contacted_before,has_loan_burden,prev_success,age_group,economic_sentiment
45,retired,married,university.degree,no,no,no,cellular,may,fri,3,999,0,nonexistent,-1.1,92.372,-43.0,0.932,5191.0,no,0,0,0,middle_age,0.32635983263598317
38,management,single,university.degree,no,no,no,cellular,jan,tue,2,999,0,nonexistent,-1.8,94.631,-35.8,0.941,5008.7,no,0,0,0,middle_age,0.6276150627615064
47,self-employed,divorced,basic.9y,no,yes,no,telephone,may,wed,6,999,0,nonexistent,-0.1,92.575,-27.2,0.975,5017.5,no,0,1,0,middle_age,0.9874476987447699
58,self-employed,married,basic.4y,no,yes,no,cellular,may,wed,2,999,0,nonexistent,-2.9,94.757,-40.3,4.593,4963.6,no,0,1,0,senior,0.43933054393305443
37,retired,married,high.school,unknown,no,no,cellular,jul,thu,2,999,0,nonexistent,-1.8,92.942,-48.5,1.6,5176.3,yes,0,0,0,middle_age,0.09623430962343085
37,blue-collar,single,university.degree,no,yes,no,cellular,jul,fri,4,999,0,nonexistent,-1.8,94.237,-33.7,0.931,5076.2,no,0,1,0,middle_age,0.715481171548117
58,admin.,divorced,university.degree,no,yes,yes,cellular,jun,mon,1,999,1,nonexistent,-1.8,92.272,-29.4,0.647,5228.1,no,1,1,0,senior,0.895397489539749
49,management,married,university.degree,unknown,yes,no,cellular,may,wed,1,999,0,nonexistent,-1.8,92.937,-34.5,3.339,5076.2,no,0,1,0,middle_age,0.6820083682008368
34,technician,married,university.degree,no,no,no,cellular,nov,wed,1,11,1,nonexistent,-0.1,93.749,-38.9,3.355,5176.3,no,1,0,0,young_adult,0.49790794979079495
46,management,married,professional.course,no,yes,no,telephone,may,tue,1,999,1,nonexistent,-0.1,92.784,-44.9,1.803,5195.8,no,1,1,0,middle_age,0.24686192468619242
34,technician,single,high.school,no,yes,yes,cellular,may,fri,1,999,0,nonexistent,1.1,94.153,-40.1,1.869,5099.1,no,0,1,0,young_adult,0.4476987447698743
34,unemployed,single,university.degree,no,yes,no,telephone,jun,mon,3,999,0,nonexistent,1.1,93.935,-40.7,2.126,5017.5,yes,0,1,0,young_adult,0.422594142259414
42,blue-collar,divorced,university.degree,no,yes,no,cellular,aug,mon,4,999,0,nonexistent,-0.1,94.744,-27.8,2.196,5228.1,yes,0,1,0,middle_age,0.9623430962343096
18,services,married,high.school,unknown,unknown,yes,telephone,jan,thu,8,999,0,nonexistent,-1.1,93.7,-49.9,4.061,5017.5,no,0,1,0,young,0.03765690376569032
19,self-employed,married,basic.4y,no,no,no,cellular,may,tue,2,999,0,nonexistent,1.1,94.172,-42.1,4.779,5228.1,no,0,0,0,young,0.3640167364016735
33,unemployed,married,university.degree,unknown,no,no,telephone,aug,thu,1,999,0,nonexistent,-2.9,92.392,-43.4,3.229,5008.7,no,0,0,0,young_adult,0.30962343096234307
27,unemployed,married,high.school,no,yes,no,cellular,may,fri,5,999,0,failure,-0.1,92.311,-27.3,2.363,5195.8,no,0,1,0,young_adult,0.9832635983263598
43,self-employed,married,high.school,no,no,yes,telephone,may,tue,5,999,0,nonexistent,-2.9,93.694,-50.6,1.934,5176.3,no,0,1,0,middle_age,0.008368200836819906
29,blue-collar,married,professional.course,no,no,no,telephone,nov,tue,3,999,0,nonexistent,-0.1,94.729,-43.8,4.293,5228.1,no,0,0,0,young_adult,0.29288702928870297
23,student,single,professional.course,no,yes,no,cellular,mar,mon,1,999,0,nonexistent,1.4,92.891,-27.5,1.031,5099.1,no,0,1,0,young,0.9748953974895397
57,admin.,divorced,basic.9y,unknown,no,no,cellular,jul,tue,6,999,0,nonexistent,-1.8,92.205,-47.0,2.545,5076.2,no,0,0,0,senior,0.15899581589958148
